Year,Week,Sampling Period,Site,Block,Host Plant,Branch ID,Ant Treatment,Leaf Count,Single Leaf Area,Branch Leaf Area,Total Caterpillars,Cumulative Cat Count,Total Ants,Total Saps,S1+S2 Sap Presence,Sap Presence,0% leaf dmg,1-20% leaf dmg,20-40% leaf dmg,40-60% leaf dmg,60-80% leaf dmg,80-100% leaf dmg,Leaf Area Lost,Number of Damaged Leaves
2012,1,S1,C,1,BC,CBC1A,tanglefoot,316,11.222,0.3546152,4,,1,0,,0,98,201,10,6,1,0,0.03007496,
2012,1,S1,C,1,BC,CBC1B,control,238,11.222,0.2670836,3,,1,0,,0,38,178,13,6,0,3,0.03074828,
2012,1,S1,C,1,BC,CBC1C,tanglefoot,458,11.222,0.5139676,0,,0,0,,0,378,68,6,6,0,0,0.01357862,
2012,1,S1,C,1,BC,CBC1D,control,119,11.222,0.1335418,3,,6,0,,0,2,108,1,7,1,0,0.01548636,
2012,1,S1,C,2,BC,CBC2A,tanglefoot,176,11.222,0.1975072,1,,2,0,,0,55,70,8,4,4,35,0.05465114,
2012,1,S1,C,2,BC,CBC2B,control,235,11.222,0.263717,0,,0,0,,0,38,92,5,10,0,90,0.10346684,
2012,1,S1,C,2,BC,CBC2C,tanglefoot,286,11.222,0.3209492,0,,0,0,,0,182,104,3,1,0,0,0.01268086,
2012,1,S1,C,2,BC,CBC2D,control,365,11.222,0.409603,3,,6,0,,0,160,201,3,0,1,0,0.02659614,
2012,2,S1,C,3,BC,CBC3A,tanglefoot,213,11.222,0.2390286,6,,1,0,,0,81,91,22,4,7,8,0.03793036,
2012,2,S1,C,3,BC,CBC3B,control,287,11.222,0.3220714,3,,0,0,,0,83,176,7,12,2,7,0.03635928,
2012,2,S1,C,3,BC,CBC3C,tanglefoot,155,11.222,0.173941,9,,0,0,,0,20,5,23,10,7,100,0.11648436,
2012,2,S1,C,3,BC,CBC3D,control,420,11.222,0.471324,5,,0,0,,0,233,178,2,3,3,1,0.02513728,
2012,2,S1,C,4,BC,CBC4A,tanglefoot,284,11.222,0.3187048,2,,0,0,,0,205,69,3,2,1,4,0.01806742,
2012,2,S1,C,4,BC,CBC4B,control,463,11.222,0.5195786,3,,2,0,,0,280,157,14,8,2,2,0.03321712,
2012,2,S1,C,4,BC,CBC4C,tanglefoot,734,11.222,0.8236948,4,,0,0,,0,343,364,11,13,1,2,0.04960124,
2012,2,S1,C,4,BC,CBC4D,control,437,11.222,0.4904014,2,,0,0,,0,302,116,5,4,4,6,0.02390286,
2012,3,S1,C,5,BC,CBC5A,tanglefoot,252,11.222,0.2827944,2,,0,0,,0,74,172,6,0,0,0,0.0252495,
2012,3,S1,C,5,BC,CBC5B,control,195,11.222,0.218829,3,,3,0,,0,92,93,3,7,0,0,0.01256864,
2012,3,S1,C,5,BC,CBC5C,tanglefoot,174,11.222,0.1952628,3,,0,0,,0,82,87,1,2,2,0,0.01167088,
2012,3,S1,C,5,BC,CBC5D,control,294,11.222,0.3299268,1,,0,0,,0,61,226,5,0,1,1,0.03220714,
2012,3,S1,C,6,BC,CBC6A,tanglefoot,336,11.222,0.3770592,4,,0,0,,0,83,235,9,6,2,1,0.0387159,
2012,3,S1,C,6,BC,CBC6B,control,298,11.222,0.3344156,2,,1,0,,0,137,130,11,12,6,2,0.02502506,
2012,3,S1,C,6,BC,CBC6C,tanglefoot,398,11.222,0.4466356,2,,0,0,,0,127,259,7,0,0,5,0.0454491,
2012,3,S1,C,6,BC,CBC6D,control,529,11.222,0.5936438,3,,4,0,,0,357,134,10,16,7,5,0.02951386,
2012,1,S1,C,1,BE,CBE1A,tanglefoot,190,33.5,0.6365,3,,0,0,,0,152,36,1,1,0,0,0.013065,
2012,1,S1,C,1,BE,CBE1B,control,166,33.5,0.5561,0,,2,0,,0,124,42,0,0,0,0,0.015745,
2012,1,S1,C,1,BE,CBE1C,tanglefoot,151,33.5,0.50585,0,,5,0,,0,116,33,1,1,0,0,0.01206,
2012,1,S1,C,1,BE,CBE1D,control,188,33.5,0.6298,0,,4,0,,0,152,36,0,0,0,0,0.01206,
2012,1,S1,C,2,BE,CBE2A,tanglefoot,178,33.5,0.5963,1,,0,0,,0,107,69,2,0,0,0,0.0268,
2012,1,S1,C,2,BE,CBE2B,control,251,33.5,0.84085,1,,1,0,,0,174,55,4,1,2,15,0.07571,
2012,1,S1,C,2,BE,CBE2C,tanglefoot,233,33.5,0.78055,0,,0,0,,0,51,177,3,2,0,0,0.063985,
2012,1,S1,C,2,BE,CBE2D,control,168,33.5,0.5628,0,,0,0,,0,42,120,5,1,0,0,0.0469,
2012,2,S1,C,3,BE,CBE3A,tanglefoot,158,33.5,0.5293,1,,0,0,,0,104,52,1,1,0,0,0.021775,
2012,2,S1,C,3,BE,CBE3B,control,113,33.5,0.37855,0,,0,0,,0,76,29,6,2,0,0,0.019095,
2012,2,S1,C,3,BE,CBE3C,tanglefoot,95,33.5,0.31825,0,,1,0,,0,54,34,5,2,0,0,0.01809,
2012,2,S1,C,3,BE,CBE3D,control,109,33.5,0.36515,0,,2,0,,0,70,38,0,1,0,0,0.01608,
