Obs,Dorm,Time,Source.Species,vetch.num,Weevil,weevil.num,Ladybird,ladybird.num,Column,Occupancy,Total.Aphids,Avg.Aphids,PEMV,PEMV.num,End.Aphids,End.Source.Aphids,log.End.Aphids,Total.Nymphs,Avg.Distance.All
1,1,1,Vetch,1,Present,1,Absent,0,A,20,625,89.28571429,Present,1,197,30,2.296665,144,1.443708609
2,1,1,Vetch,1,Present,1,Absent,0,B,16,256,36.57142857,Present,1,67,30,1.832509,45,1.650793651
3,2,1,Vetch,1,Present,1,Absent,0,A,18,468,66.85714286,Present,1,130,9,2.117271,116,3.106382979
4,2,1,Vetch,1,Present,1,Absent,0,B,14,263,37.57142857,Absent,0,69,9,1.845098,52,3.027027027
5,3,1,Vetch,1,Present,1,Absent,0,A,12,327,46.71428571,Present,1,89,2,1.954243,71,2.722222222
6,3,1,Vetch,1,Present,1,Absent,0,B,19,277,39.57142857,Present,1,61,2,1.792392,56,2.532258065
7,4,1,Vetch,1,Present,1,Absent,0,A,15,223,31.85714286,Present,1,72,0,1.863323,67,2.25
8,4,1,Vetch,1,Present,1,Absent,0,B,20,317,45.28571429,Present,1,84,0,1.929419,74,3.020408163
9,5,1,Pea,0,Present,1,Present,1,A,5,28,4,Present,1,4,0,0.69897,4,4
10,5,1,Pea,0,Present,1,Present,1,B,1,6,0.857142857,Present,1,1,0,0.30103,1,4.272727273
11,6,1,Pea,0,Present,1,Present,1,A,7,58,8.285714286,Absent,0,7,67,0.90309,4,4.357142857
12,6,1,Pea,0,Present,1,Present,1,B,8,49,7,Present,1,7,67,0.90309,3,4.225806452
13,7,1,Pea,0,Present,1,Absent,0,A,7,35,5,Absent,0,5,3,0.778151,4,3.368421053
14,7,1,Pea,0,Present,1,Absent,0,B,15,163,23.28571429,Absent,0,34,3,1.544068,34,3.607142857
15,8,1,Pea,0,Present,1,Present,1,A,10,61,8.714285714,Present,1,15,3,1.20412,14,3.2
16,8,1,Pea,0,Present,1,Present,1,B,5,27,3.857142857,Present,1,1,3,0.30103,1,3.333333333
17,9,1,Pea,0,Present,1,Absent,0,A,6,161,23,Absent,0,55,99,1.748188,48,2
18,9,1,Pea,0,Present,1,Absent,0,B,6,63,9,Absent,0,13,99,1.146128,12,4.838709677
19,10,1,Pea,0,Present,1,Absent,0,A,6,46,6.571428571,Absent,0,13,88,1.146128,13,2.095238095
20,10,1,Pea,0,Present,1,Absent,0,B,12,137,19.57142857,Absent,0,69,88,1.845098,63,4.658823529
21,11,1,Pea,0,Present,1,Absent,0,A,9,167,23.85714286,Absent,0,108,46,2.037426,98,2.428571429
22,11,1,Pea,0,Present,1,Absent,0,B,5,12,1.714285714,Absent,0,2,46,0.477121,1,4.495238095
23,12,1,Pea,0,Absent,0,Absent,0,A,11,109,15.57142857,Absent,0,25,143,1.414973,23,1.4
24,12,1,Pea,0,Absent,0,Absent,0,B,15,207,29.57142857,Absent,0,61,143,1.792392,51,4.355371901
25,13,1,Pea,0,Absent,0,Present,1,A,4,14,2,Absent,0,0,16,0,0,1.857142857
26,13,1,Pea,0,Absent,0,Present,1,B,9,40,5.714285714,Absent,0,9,16,1,7,2.066666667
27,14,1,Pea,0,Absent,0,Present,1,A,13,75,10.71428571,Present,1,21,0,1.342423,16,3.142857143
28,14,1,Pea,0,Absent,0,Present,1,B,5,63,9,Absent,0,14,0,1.176091,14,3.166666667
29,15,1,Pea,0,Absent,0,Present,1,A,3,13,1.857142857,Absent,0,1,0,0.30103,1,3
30,15,1,Pea,0,Absent,0,Present,1,B,5,36,5.142857143,Absent,0,2,0,0.477121,1,3.733333333
31,16,1,Pea,0,Absent,0,Present,1,A,7,61,8.714285714,Absent,0,19,17,1.30103,17,3.214285714
32,16,1,Pea,0,Absent,0,Present,1,B,10,91,13,Present,1,19,17,1.30103,16,4.24
33,17,1,Vetch,1,Present,1,Present,1,A,14,139,19.85714286,Absent,0,41,6,1.623249,31,3.476190476
34,17,1,Vetch,1,Present,1,Present,1,B,13,152,21.71428571,Absent,0,54,6,1.740363,45,2.368421053
35,18,1,Vetch,1,Present,1,Present,1,A,13,97,13.85714286,Present,1,40,12,1.612784,19,3.75
36,18,1,Vetch,1,Present,1,Present,1,B,6,56,8,Absent,0,21,12,1.342423,19,3.117647059
37,19,1,Vetch,1,Present,1,Present,1,A,9,219,31.28571429,Present,1,59,0,1.778151,36,1.675
38,19,1,Vetch,1,Present,1,Present,1,B,15,172,24.57142857,Present,1,52,0,1.724276,37,1.375
39,20,1,Vetch,1,Present,1,Present,1,A,10,77,11,Absent,0,6,1,0.845098,4,2.6875
40,20,1,Vetch,1,Present,1,Present,1,B,10,54,7.714285714,Absent,0,14,1,1.176091,10,2.409090909
41,21,1,Vetch,1,Absent,0,Absent,0,A,16,164,23.42857143,Present,1,75,36,1.880814,62,3
42,21,1,Vetch,1,Absent,0,Absent,0,B,11,125,17.85714286,Present,1,67,36,1.832509,51,4.136842105
43,22,1,Vetch,1,Absent,0,Absent,0,A,12,304,43.42857143,Present,1,111,48,2.049218,91,1.058823529
44,22,1,Vetch,1,Absent,0,Absent,0,B,6,145,20.71428571,Present,1,50,48,1.70757,37,4.551401869
45,23,1,Vetch,1,Absent,0,Absent,0,A,7,123,17.57142857,Present,1,73,24,1.869232,62,1.179775281
46,23,1,Vetch,1,Absent,0,Absent,0,B,13,420,60,Absent,0,118,24,2.075547,92,4.333333333
47,24,1,Vetch,1,Absent,0,Absent,0,A,10,185,26.42857143,Absent,0,5,0,0.778151,5,1.615384615
48,24,1,Vetch,1,Absent,0,Absent,0,B,6,70,10,Absent,0,0,0,0,0,4.391304348
49,25,1,Vetch,1,Absent,0,Present,1,A,6,19,2.714285714,Absent,0,11,28,1.079181,7,2.2
50,25,1,Vetch,1,Absent,0,Present,1,B,3,29,4.142857143,Present,1,29,28,1.477121,24,3.142857143
51,26,1,Vetch,1,Absent,0,Present,1,A,6,30,4.285714286,Absent,0,22,25,1.361728,14,1.666666667
52,26,1,Vetch,1,Absent,0,Present,1,B,8,62,8.857142857,Absent,0,44,25,1.653213,39,4.666666667
53,27,1,Vetch,1,Absent,0,Present,1,A,21,153,21.85714286,Present,1,27,0,1.447158,21,2.346153846
54,27,1,Vetch,1,Absent,0,Present,1,B,17,125,17.85714286,Present,1,24,0,1.39794,21,2.333333333
55,28,1,Vetch,1,Absent,0,Present,1,A,3,12,1.714285714,Absent,0,3,0,0.60206,2,1
56,28,1,Vetch,1,Absent,0,Present,1,B,0,0,0,Absent,0,0,0,0,0,1
57,29,1,Pea,0,Absent,0,Absent,0,A,14,248,35.42857143,Present,1,86,52,1.939519,66,1.75
58,29,1,Pea,0,Absent,0,Absent,0,B,13,229,32.71428571,Present,1,92,52,1.968483,68,3.752380952
59,30,1,Pea,0,Absent,0,Absent,0,A,7,276,39.42857143,Present,1,69,46,1.845098,59,2.142857143
60,30,1,Pea,0,Absent,0,Absent,0,B,2,0,0,Present,1,18,46,1.278754,11,4.917808219
61,31,1,Pea,0,Absent,0,Absent,0,A,8,122,17.42857143,Absent,0,40,85,1.612784,20,1.666666667
62,31,1,Pea,0,Absent,0,Absent,0,B,3,22,3.142857143,Absent,0,7,85,0.90309,5,4.835051546
63,32,1,Pea,0,Absent,0,Absent,0,A,5,83,11.85714286,Absent,0,54,93,1.740363,44,1.5
64,32,1,Pea,0,Absent,0,Absent,0,B,5,71,10.14285714,Present,1,39,93,1.60206,30,4.905172414
65,33,2,Pea,0,Present,1,Present,1,A,9,113,16.14285714,Absent,0,33,54,1.531479,30,3.363636364
66,33,2,Pea,0,Present,1,Present,1,B,10,54,7.714285714,Present,1,18,54,1.278754,14,4.547945205
67,34,2,Pea,0,Absent,0,Present,1,A,7,63,9,Present,1,25,1,1.414973,21,1.6
68,34,2,Pea,0,Absent,0,Present,1,B,3,37,5.285714286,Absent,0,7,1,0.90309,7,4.380952381
