Replicate,Duration,Date,Dorm,Column,PEMV,Source Species,Weevil,Ladybird,Source weevil damage,Plant Number,Total Aphids,Total Adults,Total Nymphs,Top Maternal,Top Nymph,Top Total,Middle Maternal,Middle Nymph,Middle Total,Bottom Maternal,Bottom Nymph,Bottom Total,Weevil Herbivory
1,1,8.2.2017,1,A,,Vetch,Present,Absent,Yes,S,55,10,45,10,45,55,0,0,0,0,0,0,
1,1,8.2.2017,1,B,,Vetch,Present,Absent,Yes,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,2,A,,Vetch,Present,Absent,No,S,90,12,78,6,30,36,2,16,18,4,32,36,
1,1,8.2.2017,2,B,,Vetch,Present,Absent,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,3,A,,Vetch,Present,Absent,Yes,S,61,7,54,2,30,32,3,22,25,2,2,4,
1,1,8.2.2017,3,B,,Vetch,Present,Absent,Yes,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,4,A,,Vetch,Present,Absent,Yes,S,80,6,74,0,53,53,1,12,13,5,9,14,
1,1,8.2.2017,4,B,,Vetch,Present,Absent,Yes,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,5,A,,Pea,Present,Present,Yes,S,15,3,12,3,12,15,0,0,0,0,0,0,
1,1,8.2.2017,5,B,,Pea,Present,Present,Yes,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,6,A,,Pea,Present,Present,Yes,S,22,5,17,4,17,21,1,0,1,0,0,0,
1,1,8.2.2017,6,B,,Pea,Present,Present,Yes,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,7,A,,Pea,Present,Absent,No,S,8,2,6,1,6,7,0,0,0,1,0,1,
1,1,8.2.2017,7,B,,Pea,Present,Absent,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,8,A,,Pea,Present,Present,Yes,S,2,1,1,0,0,0,1,1,2,0,0,0,
1,1,8.2.2017,8,B,,Pea,Present,Present,Yes,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,9,A,,Pea,Present,Absent,No,S,36,9,27,1,2,3,4,8,12,4,17,21,
1,1,8.2.2017,9,B,,Pea,Present,Absent,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,10,A,,Pea,Present,Absent,Yes,S,36,9,27,5,4,9,1,4,5,3,19,22,
1,1,8.2.2017,10,B,,Pea,Present,Absent,Yes,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,11,A,,Pea,Present,Absent,No,S,62,15,47,7,20,27,5,21,26,3,6,9,
1,1,8.2.2017,11,B,,Pea,Present,Absent,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,12,A,,Pea,Absent,Absent,No,S,55,14,41,10,23,33,2,13,15,2,5,7,
1,1,8.2.2017,12,B,,Pea,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,13,A,,Pea,Absent,Present,No,S,2,1,1,0,1,1,0,0,0,1,0,1,
1,1,8.2.2017,13,B,,Pea,Absent,Present,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,14,A,,Pea,Absent,Present,No,S,9,4,5,0,1,1,1,3,4,3,1,4,
1,1,8.2.2017,14,B,,Pea,Absent,Present,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,15,A,,Pea,Absent,Present,No,S,46,8,38,4,13,17,3,20,23,1,5,6,
1,1,8.2.2017,15,B,,Pea,Absent,Present,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,16,A,,Pea,Absent,Present,No,S,3,0,3,0,1,1,0,0,0,0,2,2,
1,1,8.2.2017,16,B,,Pea,Absent,Present,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,17,A,,Vetch,Present,Present,Yes,S,1,0,1,0,0,0,0,1,1,0,0,0,
1,1,8.2.2017,17,B,,Vetch,Present,Present,Yes,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,18,A,,Vetch,Present,Present,No,S,7,2,5,2,5,7,0,0,0,0,0,0,
1,1,8.2.2017,18,B,,Vetch,Present,Present,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,19,A,,Vetch,Present,Present,Yes,S,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,8.2.2017,19,B,,Vetch,Present,Present,Yes,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,20,A,,Vetch,Present,Present,Yes,S,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,8.2.2017,20,B,,Vetch,Present,Present,Yes,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,21,A,,Vetch,Absent,Absent,No,S,40,10,30,10,30,40,0,0,0,0,0,0,
1,1,8.2.2017,21,B,,Vetch,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,22,A,,Vetch,Absent,Absent,No,S,55,15,40,13,37,50,2,3,5,0,0,0,
1,1,8.2.2017,22,B,,Vetch,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,23,A,,Vetch,Absent,Absent,No,S,69,10,59,5,0,5,5,59,64,0,0,0,
1,1,8.2.2017,23,B,,Vetch,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,24,A,,Vetch,Absent,Absent,No,S,55,11,44,1,21,22,7,13,20,3,10,13,
1,1,8.2.2017,24,B,,Vetch,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,25,A,,Vetch,Absent,Present,No,S,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,8.2.2017,25,B,,Vetch,Absent,Present,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,26,A,,Vetch,Absent,Present,No,S,34,8,26,2,5,7,5,17,22,1,4,5,
1,1,8.2.2017,26,B,,Vetch,Absent,Present,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,27,A,,Vetch,Absent,Present,No,S,2,0,2,0,0,0,0,0,0,0,2,2,
1,1,8.2.2017,27,B,,Vetch,Absent,Present,No,S,,0,0,,,0,,,0,,,0,
