Medium,Mulch,Root aphid colonies,Root galls,Root dry weight (g),Aerial aphid colonies
Plain,Chips,4,0,1.7622,12
Plain,Chips,3,0,1.7714,18
Plain,Chips,3,0,2.0778,16
Plain,Chips,3,1,2.3854,17
Plain,Chips,1,2,2.5384,21
Plain,Chips,5,5,2.5449,32
Plain,Chips,1,1,2.7098,13
Plain,Chips,5,5,3.2415,17
Plain,Chips,5,1,3.8519,16
Plain,Chips,6,5,4.298,18
Plain,Chips,2,4,4.4103,19
Plain,Chips,4,2,4.8973,22
Plain,Control,4,2,0.4731,19
Plain,Control,2,7,1.165,11
Plain,Control,3,2,2.3018,16
Plain,Control,1,8,2.4367,21
Plain,Control,3,4,2.6178,16
Plain,Control,2,12,2.9224,12
Plain,Control,2,4,3.0888,15
Plain,Control,11,3,3.0942,26
Plain,Control,5,4,3.1791,19
Plain,Control,3,15,3.4065,14
Plain,Control,3,7,6.8603,22
Plain,Slurry,4,0,0.3367,10
Plain,Slurry,3,1,0.9604,12
Plain,Slurry,1,0,1.1458,12
Plain,Slurry,1,1,1.4604,22
Plain,Slurry,2,0,2.2671,14
Plain,Slurry,3,2,2.4367,25
Plain,Slurry,1,1,2.5014,10
Plain,Slurry,5,2,3.1752,22
Plain,Slurry,2,1,3.2284,22
Plain,Slurry,2,1,3.3494,22
Plain,Slurry,1,0,3.4664,15
Plain,Slurry,8,0,4.9968,6
Sandy,Chips,5,1,0.6791,25
Sandy,Chips,2,0,0.8244,13
Sandy,Chips,0,0,0.9173,17
Sandy,Chips,4,2,0.9924,12
Sandy,Chips,2,1,1.2306,14
Sandy,Chips,1,0,1.6177,22
Sandy,Chips,2,1,2.0633,29
Sandy,Chips,5,1,2.2352,17
Sandy,Chips,3,1,2.8191,22
Sandy,Chips,2,1,3.8877,13
Sandy,Chips,1,0,4.314,14
Sandy,Chips,2,2,4.3347,23
Sandy,Control,5,6,0.8526,12
Sandy,Control,1,0,0.8856,21
Sandy,Control,2,1,0.9351,14
Sandy,Control,2,3,1.4452,11
Sandy,Control,1,0,1.4547,14
Sandy,Control,0,1,1.6137,21
Sandy,Control,4,0,1.7879,11
Sandy,Control,3,1,1.8163,26
Sandy,Control,3,2,1.8173,22
Sandy,Control,3,1,1.8232,17
Sandy,Control,2,0,2.0291,19
Sandy,Control,4,3,2.1506,21
Sandy,Slurry,0,0,0.4059,20
Sandy,Slurry,1,1,0.4215,11
Sandy,Slurry,2,1,1.4706,11
Sandy,Slurry,1,0,1.5764,13
Sandy,Slurry,0,0,1.6073,13
Sandy,Slurry,4,1,1.9138,24
Sandy,Slurry,1,0,2.0542,13
Sandy,Slurry,2,1,2.6752,7
Sandy,Slurry,2,0,2.8723,20
Sandy,Slurry,2,0,3.3294,8
Sandy,Slurry,2,2,3.3487,20
Sandy,Slurry,2,0,4.3904,4
